自分	じぶん
人通り	ひとどおり
年少	ねんしょう
分光	ぶんこう
春雨	はるさめ|しゅんう
買上げ	かいあげ
茶色い	ちゃいろい
引きずり	ひきずり
白地	しらじ|しろじ
字体	じたい
赤星	あかほし|あかぼし
細分	さいぶん
自画	じが
水門	すいもん
土用	どよう
空売り	からうり
そよ風	そよかぜ
父兄	ふけい
谷中	やなか
南風	みなみかぜ|なんぷう|はえ
つかの間	つかのま
町会	ちょうかい
知力	ちりょく
今どき	いまどき
顔出し	かおだし
聞き手	ききて
花形	はながた
時分	じぶん
立ち回り	たちまわり
外気	がいき
生家	せいか
交わり	まじわり
秋晴れ	あきばれ
声楽	せいがく
一元	いちげん
強弱	きょうじゃく
日夜	にちや
一風	いっぷう
文楽	ぶんらく
国力	こくりょく
親水	しんすい
親しむ	したしむ
茶会	ちゃかい
夜食	やしょく
肉じゃが	にくじゃが
番頭	ばんがしら|ばんとう
国名	こくめい
古文	こぶん
読み直し	よみなおし
色っぽい	いろっぽい
大麦	おおむぎ
顔合わせ	かおあわせ
分る	わける|わかる
か国	かこく
前科	ぜんか
色あせ	いろあせ
下書き	したがき
間口	まぐち
大台	おおだい
買出し	かいだし
店先	みせさき
親日	しんにち
買春	ばいしゅん|かいしゅん
当る	あたる
同町	どうちょう
語り口	かたりくち
八百長	やおちょう
雲海	うんかい
明星	みょうじょう
里子	さとご
自明	じめい
古び	ふるび
遠心	えんしん
直立	ちょくりつ
弱小	じゃくしょう
元日	がんじつ
原木	げんぼく
角地	かどち
外車	がいしゃ
長引く	ながびく
東風	ひがしかぜ|とうふう|こち|ごち
遠近	えんきん|おちこち
買いもの	かいもの
後年	こうねん
ひき肉	ひきにく
子分	こぶん
家来	けらい|げらい
買い出し	かいだし
心がける	こころがける
林家	りんか
こぼれ話	こぼればなし
直る	なおる
岩魚	いわな
黒石	くろいし
合作	がっさく
木場	きば|こば
出自	しゅつじ
交友	こうゆう
前足	まえあし
広角	こうかく
西海	さいかい
遠目	とおめ
水鳥	すいちょう|みずとり
新風	しんぷう
語れる	かたれる
大道	たいどう|だいどう
風光	ふうこう
引ける	ひける
母方	ははかた
秋風	あきかぜ|しゅうふう
地すべり	じすべり
日当り	ひあたり
文教	ぶんきょう
新し	あたらし
空回り	からまわり
林間	りんかん
頭数	あたまかず|とうすう
大岩	おおいわ
高らか	たからか
上体	じょうたい
古紙	こし
大前	おおまえ
家元	いえもと
黒子	くろこ|くろご|こくし|ほくろ|ぼくろ
赤道	せきどう
通風	つうふう
来れる	これる
台紙	だいし
きめ細か	きめこまか
国原	くにはら
公金	こうきん
原野	げんや
市中	しちゅう
空き家	あきや
心ゆく	こころゆく
会し	かいし
立会	たちあい
気道	きどう
谷町	たにまち
点心	てんしん
五色	ごしき
足止め	あしどめ
組立て	くみたて
水切り	みずきり
元通り	もとどおり
風雨	ふうう
黒ずみ	くろずみ
原石	げんせき
かみ合わせ	かみあわせ
通ずる	つうずる
海馬	かいば|うみうま
石室	せきしつ|いしむろ
後記	こうき
通り道	とおりみち
入道	にゅうどう
何分	なにぶん
語らい	かたらい
田楽	でんがく
太字	ふとじ
